activityID,activityName,location,Content,activityTime,registrationStart,registrationEnd,unit,contact,limit,datastart
1,幸福力躍升：雲科大校園社會情緒學習培力計畫-透過運動提升自我(20),游泳館SW101 - 韻律教室,"運動如何改善情緒?如何調節壓力?你/妳知道怎麼做嗎?
本次透過申請教育部社會情緒學習(SEL)計畫，以雲科大規劃幸福力躍升：雲科大校園社會情緒學習培力計畫
得以有機會讓大家學習「怎麼動」、如何對的「動」
本計畫共規劃20堂課(20週)，課程包含學(概念)、術(實作)科，欲報名者請準備乾淨的鞋子及瑜珈墊。
因有人數限制，若報名後無法參加，請務必通知，以轉讓名額予其他人員。",2026/07/10 16:00 ~ 2026/07/10 17:00,2026/7/6 08:00,2026/7/10 12:00,體育室 分機: 2704,t001,35,2026/7/6
2,群組移動機器人工作坊,產學研大樓AI002,為推廣智慧機器人與群組移動機器人相關技術應用，增進教師對智慧機器人領域之實作與教學應用能力,2026/06/20 09:00 ~ 2026/06/21 16:00,2026/5/28 12:00,2026/6/13 12:00,智慧科技學院 / 智慧機器人學士學位學程,t003,20,2026/5/1
3,幸福力躍升：雲科大校園社會情緒學習培力計畫-透過運動提升自我,游泳館,運動如何改善情緒?你/妳知道怎麼做嗎?,2026/06/26 16:00 ~ 2026/06/26 17:00,2026/6/22 08:00,2026/6/26 12:00,體育室,t001,20,2026/6/15

